Card,Image,Title,planet_orb,planet_house,sign_1,sign_2,sign_3,suit_1,suit_2,path,sephira,element_1,element_2,info,deepinfo
Princess of Disks,princess_of_disks.jpg,,,,Taurus,Aries,Gemini,Disks,,,,Earth,Earth,"Represents the earthy part of earth. A young woman beautiful and strong, as if beholding a secret wonder, pregnant with all life. She is generous, kind, diligent, benevolent, preserving. Ill-dignified: Wasteful and prodigal woman at war with her essential dignity.","Princess of Disks = earthy part of Earth, or the element on the brink of Transfiguration. She is standing; her crest is the head of the ram; her sceptre descends into the earth where its head becomes a diamond. Behind are a grove of trees, and an altar resembling a wheatsheaf. She carries a Disk in whose centre is the Chinese ideogram denoting the twin spiral force of Creation in perfect equilibrium."
Eight of Cups,eight_of_cups.jpg,Indolence,Saturn,Mercury,Pisces,,,Cups,,,Hod,Water,,Indolence. Abandoned success. Decline of interest in anything. Temporary success but without further result. Instability. Misery and repining. Journeying from place to place. May mean leaving material success for something higher.,"Eight of Cups = Indolence. Hod in the suit of Water. Saturn in Pisces. The Lotuses droop, the Cups are shallow and old, and are arranged in three rows. The upper row is empty."
Ten of Disks,ten_of_disks.jpg,Wealth,Mercury,Earth,Virgo,,,Disks,,,Malkuth,Earth,,"Wealth. Material prosperity and riches. Completion of material fortune but nothing beyond final solidification unless there is devotion to creativity. Old age. Ill-dignified: Slothfulness. May mean partial loss, dullness of mind with acuity and profit in money transactions. Heaviness.","Ten of Disks = Wealth. Malkuth in the suit of Earth. Mercury in Virgo. The Disks have become coins, and are arranged on the Tree of Life, the tenth Disk being larger. The image indicates the futility of material gain."
The Sun,the_sun.jpg,,Sol,,,,,,,30.8.9,,,,"Glory. Gain. Riches. Triumph. Pleasure. Frankness. Truth. Shamelessness. Manifestation. Recovery from sickness, but sometimes sudden death. Ill-dignified: Arrogance. Vanity.","The Sun. This card represents the Lord of the new Aeon, the Lord of Light, Life, Liberty and Love, and the complete emancipation of the human race. The green mound represents the fertile earth, but the presence of a wall shows that the new Aeon does not mean the absence of control. The twin children are represented as dancing outside the wall, because they typify the new stage in human history, the stage of complete freedom from the restrictions imposed by such ideas as sin and death."
Queen of Cups,queen_of_cups.jpg,,,,Cancer,Gemini,,Cups,Swords,,,Water,Water,"Represents the watery part of water. A woman who reflects the nature of the observer, dreamy, tranquil, poetic, imaginative, kind yet not willing to take much trouble for another. She is much affected by surrounding influences, therefore more dependent than most other cards on good or ill dignity.","Queen of Cups = watery part of Water, or its power of reflection and reception. She is enthroned on still water, and carries a shell-like Cup containing a cray-fish. In her other hand she holds the Lotus of Isis."
Two of Wands,two_of_wands.jpg,Dominion,Mars,,Aries,,,Wands,,,Chokmah,Fire,,"Dominion. Fire in its highest form. Energy initiating a current of force. Harmony of rule and justice. Influence over another. Boldness. Courage, Fierceness. Ill-dignified: Restlessness. Turbulence. Obstinacy.",Two of Wands = Dominion. Chokmah in the suit of Fire. Mars in Aries. Here are two dorjes crossed. The dorje is the Tibetan symbol of destruction. But destruction may be regarded as the first step in the creative process.
The Devil,the_devil.jpg,,Mars,Saturn,Capricorn,,,,,26.6.8,,,,Blind impulse. Irresistibly strong and unscrupulous person. Ambition. Temptation. Obsession. Secret plan about to be executed. Hard work. Endurance. Aching discontent. Materialism. Fate.,"The Devil is here represented in the traditional form of the Goat. The cult of the Goat represents the impulse to reckless creation without any regard for result. Behind the Goat stands the Tree of Life, which pierces the Heavens in a medley of fantastic forms, recalling the markings on the planet Mars, always associated with the fiery material energy of creation. In the transparent roots the sap is seen, seething and leaping in every direction. The ring at the top is one of the rings of Saturn or Set, the Ass-headed god of the Egyptians. The spiral shape of the horns is an allusion to the highest and most remote things. Zoroaster defines God as ""having a spiral force."""
Two of Disks,two_of_disks.jpg,Change,Jupiter,,Capricorn,,,Disks,,,Chokmah,Earth,,"Change. Harmony of change. Alternation of gain and loss, weakness and strength, elation and melancholy. Varying occupation. Wandering. Visit to friends. Pleasant change. Industrious yet unreliable person.","Two of Disks = Change. Chokmah in the element of Earth. Jupiter in Capricornus. The card represents the two pentacles, one above the other, and are the Chinese symbols Yang and Yin. About them is a green Serpent; he forms the figure 8. This card symbolises the doctrine: Change is the support of stability."
Art,art.jpg,,Dragon's Tail,Jupiter,Sagittarius,,,,,25.6.9,,,,Combination of forces. Realization. Action based on accurate calculation. Economy. Management. Success after elaborate maneuvers. The way of escape.,"Art, formerly called Temperance. The highest achievement of alchemy was the affecting of change, the transmuting of objects, qualities, colours and so on, into their opposites. Thus in this card the red lion has become white, the white eagle has become red. In the main figure, the black and white personages which were the Lovers in Card VI. are now interchanged and fused into an androgyne figure. This is the consummation of the Royal Marriage. The rainbow symbolises another stage in the alchemical process by the aura of many-coloured lights rising out of putrefaction. Putrefaction itself is shown by the raven perched on a skull on the cauldron. The consummation of the whole art of Alchemy is proclaimed in the glory with its inscription ""VISITA INTERIORA TERRAE RECTIFICANDO INVENIES OCCULTEM LAPIDEM."". The counsel to visit the interior of the earth is a recapitulation (on a higher plane) of the first formula of the Work. The important word is RECTIFICANDO, it implies the right leading of the new living substance in the path of the True Will."
The Hermit,the_hermit.jpg,,Mercury,Mercury,Virgo,,,,,20.4.6,,,,Illumination from within. Divine inspiration. Wisdom. Prudence. Circumspection. Retirement from participation in current events.,"The Hermit. The letter, to which this card is attributed, is the letter Yod, the foundation of all the other letters of the Hebrew Alphabet. The symbolism is that of the Creator of Life and his representative is the Spermatozoon. For that reason the card is called the Hermit. In the same order of ideas the Hermit holds the lamp whose centre is the Sun. The Egg, surrounded by the coils of a snake, typifies the Universe, while the snake signifies the fluidic essence of light, which is the life of the Universe. In this card are traces of the legend of Persephone. The serpent Wand, here seen growing out of the Abyss, is the Wand of Mercury, the guide of the soul through the lower regions. The letter Yod means ""a hand,"" and the hand is the centre of the design."
Six of Disks,six_of_disks.jpg,Success,Luna,Sol,Taurus,,,Disks,,,Tiphareth,Earth,,Success. Success and gain in material things. Power. Influence. Nobility. Philanthropy. Somewhat dreamy and transitory situation. Ill-dignified: Insolence. Conceit with wealth. Prodigality.,"Six of Disks = Success. Tiphareth in the suit of Earth. Moon in Taurus. The Disks are in a hexagram. The planets are arranged in their usual attribution, in the centre the Sun as Rose and Cross. This typifies the harmonious establishment of the energy of the Element."
Nine of Wands,nine_of_wands.jpg,Strength,Luna,Luna,Sagittarius,,,Wands,,,Yesod,Fire,,"Strength. Power. Health. Success after opposition and strife. Tremendous force. Recovery from sickness. Victory after apprehension and fear. Illustrates the aphorism that ""change is stability.""","Nine of Wands = Strength. Yesod in the suit of Fire. Moon and Sagittarius. The Wands have become arrows, eight in number, and one Master arrow which has the Moon for its point, and the Sun for the driving force above it. This card gives the fullest development of the Force in its relation to the Forces above it."
Six of Wands,six_of_wands.jpg,Victory,Jupiter,Sol,Leo,,,Wands,,,Tiphareth,Fire,,Victory. Energy in balanced manifestation. Love. Gain and success. Triumph after strife. Ill-dignified: Insolence and pride.,"Six of Wands = Victory. Tiphareth in the suit of Fire. Jupiter and Leo. Three Wands of the three Adepts in arranged order. Nine flames burn as lamps. Energy, and its reception and reflection by the Feminine, are typified."
Nine of Disks,nine_of_disks.jpg,Gain,Venus,Luna,Virgo,,,Disks,,,Yesod,Earth,,Gain. Good luck attending material affairs. Inheritance. Great increase of wealth. Completion of material gain. Ill-dignified: Covetousness. Theft. Knavery.,"Nine of Disks = Gain. Yesod in the suit of Earth. Venus in Virgo. The Disks are arranged as an equilateral triangle of three, apex upwards, surrounded by a ring. Six larger Disks form a hexagon. This signifies the multiplication of the original Word, the mingling of good luck and good management."
Adjustment,adjustment.jpg,,Saturn,Venus,Libra,,,,,22.5.6,,,,"Justice. Balance. Adjustment. Suspension of action pending decision. May refer to lawsuits, trials, marriages, treaties, etc.","Adjustment or traditionally Justice. This card represents the Woman satisfied. This condition is symbolised by the scales, in which she weighs the universe; Alpha, the first, exactly balances against Omega, the last. These scales represent the two 'witnesses.' Each 'witness' is an authentic manifestation of Maya, the one fulfilling the other by a process of contradiction, for nature is not Justice-she is rather through her process of equilibrium ""la Justesse."" Finally, this Woman is the original Harlequin, for the wild blend of colour and of movement resolves itself into an equilibrium of all possibilities of sensation."
Death,death.jpg,,Pluto,Mars,Scorpio,,,,,24.6.7,,,,"Transformation. Change voluntary or involuntary, perhaps sudden and unexpected. Apparent death or destruction that is illusory when viewed from a higher perspective.","Death. The alchemical sense of Death is not so much destruction as change. Thus we have, in this card, the Scorpion, representing primitive energy always ready to commit suicide (according to the legend) when heavily beset, but prepared to undergo any transformation which will permit its continued existence in a different form. The fish and serpent, here represented, have been objects of worship in cults which taught the doctrines of resurrection or re-incarnation. The central figure is executing the Dance of Death (skeleton and scythe are both Saturnian figures), and on his head he wears the crown of Osiris. The influence of Saturn is expressed in the negative aspect of Death as representing those essential forms which are not destroyed by the ordinary changes of nature; the positive and creative side is seen in the sweep of the scythe, which calls into being bubbles, symbolising new lives. The highest aspect of the card is the Eagle, which represents exaltation above solid matter."
Three of Cups,three_of_cups.jpg,Abundance,Mercury,Saturn,Cancer,,,Cups,,,Binah,Water,,"Abundance. Spiritual basis of fertility. Plenty. Hospitality. Pleasure. Sensuality. Passive success. Love. Kindness. Bounty. The good things of life, while they are to be enjoyed, are transient and therefore cannot be relied on.","Three of Cups = Abundance. Binah in the suit of Water. Mercury in Cancer. The Cups are pomegranates, bountifully overflowing in a calm sea, typifying the fulfilment of the Will to Love."
The Tower,the_tower.jpg,,Mars,,,,,,,27.7.8,,,,Quarrel. Combat. Danger. Ruin. Destruction of plans. Ambition. Courage. Sudden death. Escape from prison and all it implies.,"The Tower or the Blasted Tower, or the House of God. This card is attributed to the Hebrew letter Pé, which means a mouth. The card, which admits of two interpretations in one, is a manifestation in its rudest form, of pure destruction, the destruction of the old-established Aeon by lightning, flames, and engines of war. The other interpretation is drawn from the cult of Shiva. At the top of the card appears the Eye of Shiva. According to this, the card represents perfection, the perfection of annihilation by emancipation from the prison of organised life. The dove and the serpent represent the feminine and masculine impulses. In the language of Schopenhauer, ""The Will to Live and the Will to Die."""
Five of Cups,five_of_cups.jpg,Disappointment,Mars,Mars,Scorpio,,,Cups,,,Geburah,Water,,Disappointment. End of pleasure. Disturbance when least expected. Misfortune. Disappointment in love. Unkindness from friends. Loss of friendship. Treachery. Ill will. Sadness. Vain regret.,Five of Cups = Disappointment. Geburah in the suit of Water. Mars in Scorpio. The Cups are empty. They are arranged in an inverted pentagram. They symbolise the triumph of matter over spirit.
The Chariot,the_chariot.jpg,,Jupiter,Luna,Cancer,,,,,18.3.5,,,,"Triumph. Victory. Hope. Obedience. Faithfulness. Health. Success, though sometimes not enduring. Authority under authority. Ill-dignified: Violence in maintaining traditional ideas.","The Chariot. The four Sphinxes on this card, drawing the chariot, are the Bull, the Lion, the Eagle, and the Man, the whole representing the sixteen sub-elements. The function of the Charioteer is to bear the Holy Grail, in the centre of which is radiant blood, symbolising the presence of Light in Darkness."
Three of Swords,three_of_swords.jpg,Sorrow,Saturn,Saturn,Libra,,,Swords,,,Binah,Air,,Sorrow. Melancholy. Unhappiness. Tears. Disruption. Sowing of discord and strife. Delay. Absence. Separation. Mirth in forbidden pleasures. Deceit. Well-dignified: Singing. Faithfulness in promises. Honesty in money transactions.,"Three of Swords = Sorrow. Binah in the suit of Air. Saturn in Libra. The card represents the Great Sword of the Magician, point uppermost, cutting the junction of the two short swords. The background shows crystallisation and storm. This is the darkness of the Great Sea."
Ace of Swords,ace_of_swords.jpg,,,,,,,Swords,,,Kether,Air,,"The Root of the Powers of Air. Invoked force as contrasted with natural force (compare Ace of Wands). Represents great power for good or evil but invoked. Conquest. Whirling force. Activity. Strength through trouble. As affirmation of justice upholding divine authority, may become sword of wrath, punishment and affliction.","Ace of Swords. This card represents the first of the mixed elements, and is the result of the Union of Water and Air. In the centre is a sword implying kingship, which pierces a crown with twelve points for the twelve signs of the Zodiac."
Nine of Cups,nine_of_cups.jpg,Happiness,Jupiter,Luna,Pisces,,,Cups,,,Yesod,Water,,"Happiness. Complete success. Pleasure and happiness. Physical well-being. Happiness almost perfect but perhaps temporary. Ill-dignified: Danger of vanity, self-praise, conceit and overindulgence.",Nine of Cups = Happiness. Yesod in the suit of Water. Jupiter in Pisces. The nine Cups are perfectly arranged in a square. They are filled and overflowing with water. This is the most beneficent aspect of water.
